epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.202,0.55202,4.85992,1.16185,0.03048,0.54152,0.11648,0.09776,0.69268,3.21581,1.39282,0.00330383,0.00330383,0.00330383
2,119.028,0.5286,3.7454,1.08892,0.50391,0.358,0.32024,0.25029,0.84145,2.44961,1.65344,0.00661527,0.00661527,0.00661527
3,177.296,0.60667,3.20838,1.1181,0.52056,0.09039,0.07903,0.05507,1.55648,4.06576,2.93866,0.0099047,0.0099047,0.0099047
4,235.243,0.62563,2.76841,1.12948,0.51907,0.28173,0.22994,0.1804,0.77554,2.8278,1.62787,0.009901,0.009901,0.009901
5,293.132,0.59543,2.34058,1.10014,0.61816,0.41879,0.48465,0.41249,0.61773,1.73311,1.34966,0.009868,0.009868,0.009868
6,351.211,0.54615,1.93826,1.06827,0.58866,0.58196,0.64681,0.58415,0.49386,1.36084,1.12253,0.009835,0.009835,0.009835
7,409.367,0.53831,1.82448,1.0684,0.61509,0.58082,0.61387,0.53692,0.55175,1.30951,1.20027,0.009802,0.009802,0.009802
8,467.564,0.5107,1.71782,1.04499,0.63517,0.57203,0.61846,0.55139,0.48008,1.45095,1.11945,0.009769,0.009769,0.009769
9,526.124,0.48983,1.64741,1.0355,0.62792,0.55792,0.63422,0.56518,0.47341,1.53153,1.08838,0.009736,0.009736,0.009736
10,584.625,0.48634,1.60597,1.03292,0.73632,0.64137,0.7154,0.65487,0.44764,1.24752,1.04908,0.009703,0.009703,0.009703
11,642.858,0.46971,1.52459,1.02188,0.70293,0.67007,0.72707,0.66206,0.4351,1.0777,1.03591,0.00967,0.00967,0.00967
12,700.631,0.46435,1.48742,1.0151,0.75582,0.65369,0.83575,0.76779,0.43769,0.96077,1.04647,0.009637,0.009637,0.009637
13,759.184,0.45333,1.45945,1.00897,0.7161,0.57128,0.67407,0.62205,0.49372,1.31401,1.11622,0.009604,0.009604,0.009604
14,817.283,0.44358,1.45199,1.00755,0.67907,0.74985,0.8342,0.77366,0.40058,0.83546,0.99317,0.009571,0.009571,0.009571
15,876.699,0.43512,1.42928,1.00212,0.71553,0.68186,0.79127,0.72074,0.45699,1.00396,1.06014,0.009538,0.009538,0.009538
16,935.195,0.43361,1.41638,0.9979,0.76514,0.73603,0.85615,0.79551,0.42218,0.93168,1.0217,0.009505,0.009505,0.009505
17,993.134,0.42849,1.3829,0.99744,0.77571,0.78287,0.86793,0.80739,0.40444,0.86769,1.00105,0.009472,0.009472,0.009472
18,1052.22,0.41728,1.39039,0.98994,0.66055,0.81797,0.82844,0.75769,0.41916,0.8698,1.02828,0.009439,0.009439,0.009439
19,1111.51,0.41693,1.35963,0.99116,0.74298,0.75364,0.82848,0.77762,0.38372,0.93827,0.98622,0.009406,0.009406,0.009406
20,1169.78,0.41025,1.33842,0.98763,0.72492,0.83337,0.87315,0.81354,0.38766,0.80816,0.98626,0.009373,0.009373,0.009373
21,1227.53,0.40285,1.33263,0.9828,0.73964,0.82495,0.85938,0.79535,0.40642,0.81051,1.00727,0.00934,0.00934,0.00934
22,1286.04,0.40383,1.33247,0.98203,0.71567,0.84129,0.86571,0.81645,0.37561,0.83669,0.97437,0.009307,0.009307,0.009307
23,1347.35,0.40413,1.30411,0.98552,0.72033,0.81712,0.86231,0.81594,0.36946,0.93801,0.97497,0.009274,0.009274,0.009274
24,1406.5,0.39584,1.2819,0.98092,0.75908,0.85744,0.87943,0.82027,0.39004,0.79753,0.98435,0.009241,0.009241,0.009241
25,1467.79,0.40059,1.29839,0.98377,0.77624,0.82927,0.88283,0.82007,0.38031,0.86095,0.97891,0.009208,0.009208,0.009208
26,1528.01,0.39002,1.2872,0.9789,0.77599,0.857,0.89651,0.83233,0.38188,0.82387,0.97271,0.009175,0.009175,0.009175
27,1588.5,0.39232,1.28577,0.97992,0.7694,0.87368,0.89311,0.82699,0.38516,0.82302,0.98455,0.009142,0.009142,0.009142
28,1647.83,0.39006,1.25796,0.97657,0.75029,0.78982,0.85513,0.79771,0.40225,0.84743,1.00552,0.009109,0.009109,0.009109
29,1706.31,0.38617,1.25487,0.97219,0.80479,0.84307,0.91227,0.83489,0.41289,0.77364,1.01096,0.009076,0.009076,0.009076
30,1764.02,0.37926,1.26108,0.96772,0.78662,0.87042,0.89734,0.84677,0.36798,0.73366,0.96703,0.009043,0.009043,0.009043
31,1824.14,0.37957,1.25342,0.97555,0.73918,0.74768,0.81799,0.75142,0.43688,1.01555,1.03775,0.00901,0.00901,0.00901
