epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0275,0.55389,4.19348,1.17471,0.02412,0.104,0.04763,0.04511,0.47065,3.89419,1.15812,0.00327044,0.00327044,0.00327044
2,141.979,0.50359,2.65995,1.06319,0.79094,0.19314,0.29752,0.25435,0.66025,2.39092,1.37167,0.00658198,0.00658198,0.00658198
3,211.682,0.53897,1.78447,1.06512,0.52183,0.22423,0.1996,0.15377,0.90877,4.54212,2.02157,0.00987152,0.00987152,0.00987152
4,282.746,0.55294,1.59513,1.0795,0.54121,0.19741,0.14641,0.09603,1.29686,3.91249,3.05181,0.009901,0.009901,0.009901
5,353.805,0.53717,1.39251,1.05914,0.38694,0.41465,0.2783,0.24397,0.50407,3.69015,1.20157,0.009868,0.009868,0.009868
6,424.405,0.5131,1.26179,1.04322,0.66079,0.46597,0.50361,0.45649,0.46012,1.70564,1.12917,0.009835,0.009835,0.009835
7,496.422,0.49086,1.10525,1.02518,0.87038,0.61834,0.77977,0.72819,0.36503,0.71718,1.00113,0.009802,0.009802,0.009802
8,566.79,0.46926,1.02139,1.013,0.64506,0.37025,0.44039,0.39016,0.4946,2.02513,1.17892,0.009769,0.009769,0.009769
9,637.511,0.46761,0.98105,1.0144,0.60609,0.56474,0.60772,0.54806,0.45624,1.18419,1.08418,0.009736,0.009736,0.009736
10,710.112,0.44899,0.88874,1.00036,0.79274,0.76818,0.8338,0.77397,0.34401,0.52595,0.96351,0.009703,0.009703,0.009703
11,781.167,0.44158,0.82912,0.99586,0.70446,0.79513,0.84577,0.77619,0.35695,0.59728,0.97414,0.00967,0.00967,0.00967
12,855.123,0.43956,0.79327,0.99972,0.65749,0.7309,0.76174,0.70769,0.33223,0.7984,0.94961,0.009637,0.009637,0.009637
13,926.115,0.4251,0.73815,0.99563,0.66685,0.67982,0.68819,0.62144,0.46764,0.95655,1.14414,0.009604,0.009604,0.009604
14,998.477,0.42318,0.72739,0.99409,0.89373,0.84157,0.90626,0.83936,0.33833,0.40945,0.96094,0.009571,0.009571,0.009571
15,1069.92,0.41901,0.67516,0.98903,0.78714,0.90432,0.93385,0.862,0.32121,0.33969,0.93634,0.009538,0.009538,0.009538
16,1141.95,0.40869,0.65399,0.99099,0.8411,0.88902,0.92723,0.87771,0.326,0.32856,0.95274,0.009505,0.009505,0.009505
17,1213.63,0.41257,0.63166,0.98572,0.79462,0.85375,0.91659,0.87778,0.30176,0.3887,0.9219,0.009472,0.009472,0.009472
18,1285.76,0.40464,0.61968,0.98597,0.85494,0.89048,0.93379,0.87934,0.32936,0.33702,0.94535,0.009439,0.009439,0.009439
19,1356.76,0.39439,0.59912,0.97758,0.82376,0.8994,0.9054,0.84989,0.31606,0.33654,0.93482,0.009406,0.009406,0.009406
20,1430.71,0.39596,0.59036,0.97638,0.85799,0.93826,0.94899,0.89629,0.3156,0.31511,0.9335,0.009373,0.009373,0.009373
21,1501.17,0.3921,0.56725,0.97368,0.90356,0.89249,0.93191,0.87916,0.31803,0.32281,0.93105,0.00934,0.00934,0.00934
